	N	N_genus
10346.Webster.1.D4.40	68737.0	1.0
10346.IF2.WI	61022.0	4.0
10346.Webster.5.D9.421	13004.0	15.0
10346.Webster.2.C12.129	52920.0	1.0
10346.TW10.4.II	46468.0	6.0
10346.TW11.1.I	31926.0	2.0
10346.TW10.3.I	59558.0	1.0
10346.AW11.1.II	42082.0	1.0
10346.IO5.Wctr	53228.0	148.0
10346.Webster.1.E5.53	63982.0	1.0
10346.Webster.1.D3.39	72323.0	1.0
10346.CL13	18560.0	3.0
10346.Webster.3.H9.281	134215.0	1.0
10346.CL418	14782.0	2.0
10346.TW10.12.I	53772.0	1.0
10346.AW11.6.III	34491.0	4.0
10346.Webster.1.D1.37	66302.0	1.0
10346.Webster.2.H1.178	50375.0	1.0
10346.Webster.5.C3.403	162831.0	1.0
10346.AW10.5.I	42838.0	1.0
10346.P12x51	41295.0	1.0
10346.TW10.4.III	52315.0	1.0
10346.AW11.1.I	64724.0	2.0
10346.SW.31	24798.0	42.0
10346.TO11.7.19	91648.0	2.0
10346.TW11.5.III	43061.0	1.0
10346.TW11.1.II	26011.0	1.0
10346.Webster.3.A3.191	53729.0	1.0
10346.AW10.9.II	40307.0	1.0
10346.AW11.4.III	42896.0	1.0
10346.AW10.12.I	42572.0	2.0
10346.Webster.5.E2.426	616.0	3.0
10346.Webster.4.H6.372	36370.0	1.0
10346.Webster.5.D4.416	14680.0	2.0
10346.AW11.8.I	50664.0	1.0
10346.SW.38	23589.0	26.0
10346.SW.05	37560.0	1.0
10346.AW10.7.III	39426.0	1.0
10346.TW11.3.III	32758.0	3.0
10346.AW11.6.II	14793.0	4.0
10346.Webster.3.E9.245	131378.0	1.0
10346.AW10.3.III	39158.0	1.0
10346.IO5.Wnh	60097.0	5.0
10346.ALG12.98	22068.0	4.0
10346.Webster.4.C11.317	42647.0	1.0
10346.Webster.4.E11.341	50239.0	1.0
10346.Webster.3.A6.194	37555.0	1.0
10346.IF2.WIII	64886.0	41.0
10346.IF2.WII	55596.0	6.0
10346.ALG12.106	38900.0	1.0
10346.AW10.12.II	13030.0	2.0
10346.Webster.2.D1.130	67153.0	2.0
10346.5.11.4I	38538.0	1.0
10346.TW11.2.III	43112.0	5.0
10346.Webster.5.D10.422	8813.0	114.0
10346.Webster.5.D7.419	23955.0	17.0
10346.SW.30	18677.0	14.0
10346.Webster.3.B1.201	62077.0	1.0
10346.Webster.4.C12.318	59029.0	14.0
10346.IF5.Wctr	28283.0	14.0
10346.AW10.3.II	55030.0	1.0
10346.SW.241	39542.0	1.0
10346.Webster.3.G12.272	30969.0	1.0
10346.AW10.5.II	46079.0	1.0
10346.TW10.11.II	50932.0	1.0
