	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	temp
1001.SKB1	11875.0	2335	11875.0	2335	8.0	3	15.0
1001.SKB2	12706.0	2439	12706.0	2439	8.0	6	15.0
1001.SKB3	15287.0	2544	15287.0	2544	12.0	3	15.0
1001.SKB4	13091.0	2262	13091.0	2262	7.0	3	15.0
1001.SKB5	9823.0	1973	9823.0	1973	6.0	2	15.0
1001.SKB6	10969.0	2080	10969.0	2080	8.0	2	15.0
1001.SKB7	12750.0	834	12750.0	834	0.0	0	15.0
1001.SKB8	12713.0	865	12713.0	865	1.0	1	15.0
1001.SKB9	13453.0	1057	13453.0	1057	0.0	0	15.0
1001.SKD1	1.0	1	1.0	1	0.0	0	15.0
1001.SKD2	11900.0	2119	11900.0	2119	21.0	4	15.0
1001.SKD3	14194.0	2374	14194.0	2374	16.0	4	15.0
1001.SKD4	1.0	1	1.0	1	0.0	0	15.0
1001.SKD6	25039.0	3024	25039.0	3024	11.0	3	15.0
1001.SKD7	11930.0	1125	11930.0	1125	2.0	1	15.0
1001.SKD8	12162.0	1009	12162.0	1009	0.0	0	15.0
1001.SKD9	6428.0	927	6428.0	927	4.0	2	15.0
1001.SKM1	9290.0	2115	9290.0	2115	9.0	3	15.0
1001.SKM2	8597.0	2004	8597.0	2004	12.0	4	15.0
1001.SKM3	13676.0	2517	13676.0	2517	10.0	3	15.0
1001.SKM4	9594.0	1811	9594.0	1811	5.0	2	15.0
1001.SKM5	11004.0	2051	11004.0	2051	8.0	4	15.0
1001.SKM6	1.0	1	1.0	1	0.0	0	15.0
1001.SKM7	21163.0	1297	21163.0	1297	0.0	0	15.0
1001.SKM8	9269.0	779	9269.0	779	0.0	0	15.0
1001.SKM9	14509.0	857	14509.0	857	1.0	1	15.0
10145.2nd.1A.SO	102598.0	2908	0.0	0	2.0	1	18.5
10145.2nd.1A.SO	2.0	1	2.0	1	2.0	1	18.5
10145.2nd.1A.SO	102598.0	2908	0.0	0	2.0	1	18.5
10145.2nd.1B	214.0	103	26.0	4	0.0	0	18.6
10145.2nd.1B	214.0	103	26.0	4	0.0	0	18.6
10145.2nd.1B.SO	2.0	2	2.0	2	2.0	2	18.6
10145.2nd.1C	41249.0	695	4998.0	15	0.0	0	18.9
