"Dormstart_date" "Firstread_date" "Strain" "Rep" "Inoculum" "Dilution" "Colonies" "Notes" "Abund" "time"
"4" "18-Jan-13" "18-Jan-13" "KBS0703" 1 100 6 73 "" 73000001 0
"5" "18-Jan-13" "18-Jan-13" "KBS0703" 3 100 5 1696 "" 169600001 0
"6" "18-Jan-13" "18-Jan-13" "KBS0703" 4 100 5 1544 "" 154400001 0
"8" "18-Jan-13" "22-Jan-13" "KBS0703" 2 100 6 4 "" 4000001 4
"22" "18-Jan-13" "25-Jan-13" "KBS0703" 1 100 5 55 "" 5500001 7
"23" "18-Jan-13" "25-Jan-13" "KBS0703" 2 100 5 151 "" 15100001 7
"24" "18-Jan-13" "25-Jan-13" "KBS0703" 3 100 6 38 "" 38000001 7
"25" "18-Jan-13" "25-Jan-13" "KBS0703" 4 100 6 66 "" 66000001 7
"56" "18-Jan-13" "4-Feb-13" "KBS0703" 1 100 5 52 "" 5200001 17
"57" "18-Jan-13" "4-Feb-13" "KBS0703" 2 100 5 140 "" 14000001 17
"58" "18-Jan-13" "4-Feb-13" "KBS0703" 3 100 5 236 "" 23600001 17
"59" "18-Jan-13" "4-Feb-13" "KBS0703" 4 100 5 344 "" 34400001 17
"113" "15-Feb-13" "15-Feb-13" "KBS0703" 5 100 6 47 "" 47000001 0
"114" "15-Feb-13" "15-Feb-13" "KBS0703" 6 100 6 68 "" 68000001 0
"139" "18-Jan-13" "19-Feb-13" "KBS0703" 1 100 5 83 "" 8300001 32
"140" "18-Jan-13" "19-Feb-13" "KBS0703" 2 100 5 127 "" 12700001 32
"141" "18-Jan-13" "19-Feb-13" "KBS0703" 3 100 5 181 "" 18100001 32
"142" "18-Jan-13" "19-Feb-13" "KBS0703" 4 100 5 214 "" 21400001 32
"168" "21-Feb-13" "25-Feb-13" "KBS0703" 8 50 7 37 "" 370000001 4
"193" "21-Feb-13" "27-Feb-13" "KBS0703" 7 50 7 31 "" 310000001 6
"201" "15-Feb-13" "28-Feb-13" "KBS0703" 5 50 5 101 "" 10100001 13
"202" "15-Feb-13" "28-Feb-13" "KBS0703" 6 50 5 78 "" 7800001 13
"222" "18-Jan-13" "6-Mar-13" "KBS0703" 1 50 5 41 "" 4100001 47
"223" "18-Jan-13" "6-Mar-13" "KBS0703" 2 50 5 79 "" 7900001 47
"224" "18-Jan-13" "6-Mar-13" "KBS0703" 3 50 5 91 "" 9100001 47
"225" "18-Jan-13" "6-Mar-13" "KBS0703" 4 50 5 104 "" 10400001 47
"251" "21-Feb-13" "12-Mar-13" "KBS0703" 7 50 6 227 "" 227000001 19
"252" "21-Feb-13" "12-Mar-13" "KBS0703" 8 50 6 275 "" 275000001 19
"265" "15-Feb-13" "13-Mar-13" "KBS0703" 5 50 5 86 "" 8600001 26
"266" "15-Feb-13" "13-Mar-13" "KBS0703" 6 50 5 54 "" 5400001 26
"319" "18-Jan-13" "20-Mar-13" "KBS0703" 1 50 5 44 "" 4400001 61
"320" "18-Jan-13" "20-Mar-13" "KBS0703" 2 50 5 72 "" 7200001 61
"321" "18-Jan-13" "20-Mar-13" "KBS0703" 3 50 5 41 "" 4100001 61
"322" "18-Jan-13" "20-Mar-13" "KBS0703" 4 50 5 64 "" 6400001 61
"347" "15-Feb-13" "27-Mar-13" "KBS0703" 5 50 5 86 "" 8600001 40
"348" "15-Feb-13" "27-Mar-13" "KBS0703" 6 50 5 79 "" 7900001 40
"349" "21-Feb-13" "27-Mar-13" "KBS0703" 7 50 6 271 "" 271000001 34
"350" "21-Feb-13" "27-Mar-13" "KBS0703" 8 50 6 172 "" 172000001 34
"423" "18-Jan-13" "5-Apr-13" "KBS0703" 1 50 5 42 "" 4200001 77
"424" "18-Jan-13" "5-Apr-13" "KBS0703" 2 50 5 69 "" 6900001 77
"425" "18-Jan-13" "5-Apr-13" "KBS0703" 3 50 5 35 "" 3500001 77
"426" "18-Jan-13" "5-Apr-13" "KBS0703" 4 50 5 32 "" 3200001 77
"448" "15-Feb-13" "10-Apr-13" "KBS0703" 5 50 5 98 "" 9800001 54
"449" "15-Feb-13" "10-Apr-13" "KBS0703" 6 50 5 70 "" 7000001 54
"490" "18-Jan-13" "16-Apr-13" "KBS0703" 1 50 5 37 "" 3700001 88
"491" "18-Jan-13" "16-Apr-13" "KBS0703" 2 50 5 43 "" 4300001 88
"492" "18-Jan-13" "16-Apr-13" "KBS0703" 3 50 5 31 "" 3100001 88
"493" "18-Jan-13" "16-Apr-13" "KBS0703" 4 50 5 26 "" 2600001 88
"542" "15-Feb-13" "24-Apr-13" "KBS0703" 1 50 5 83 "" 8300001 68
"543" "15-Feb-13" "24-Apr-13" "KBS0703" 2 50 5 75 "" 7500001 68
"544" "21-Feb-13" "24-Apr-13" "KBS0703" 3 50 6 25 "" 25000001 62
"545" "21-Feb-13" "24-Apr-13" "KBS0703" 4 50 6 37 "" 37000001 62
"604" "18-Jan-13" "1-May-13" "KBS0703" 1 100 5 80 "" 8000001 103
"605" "18-Jan-13" "1-May-13" "KBS0703" 2 100 5 103 "" 10300001 103
"606" "18-Jan-13" "1-May-13" "KBS0703" 3 100 5 115 "" 11500001 103
"607" "18-Jan-13" "1-May-13" "KBS0703" 4 100 5 99 "" 9900001 103
"632" "15-Feb-13" "9-May-13" "KBS0703" 5 50 5 94 "" 9400001 83
"633" "15-Feb-13" "9-May-13" "KBS0703" 6 50 5 60 "" 6000001 83
"634" "21-Feb-13" "9-May-13" "KBS0703" 7 100 6 10 "" 10000001 77
"635" "21-Feb-13" "9-May-13" "KBS0703" 8 100 6 16 "" 16000001 77
"688" "18-Jan-13" "16-May-13" "KBS0703" 1 50 5 33 "" 3300001 118
"689" "18-Jan-13" "16-May-13" "KBS0703" 2 50 5 36 "" 3600001 118
"690" "18-Jan-13" "16-May-13" "KBS0703" 3 50 5 81 "" 8100001 118
