"","strain","rep","beta","alpha","std_dev","AIC","N.obs","beta.sd","alpha.sd","z.sd","mttf","mttf.sd","sd.ttf","sd.ttf.sd"
"1","ATCC13985",1,57.5760113048932,0.67648262511964,0.897515049149791,179.029681892667,66,11.2991349852384,0.0548323936363383,0.0781165753446146,75.3844431496894,8.74321508187041,114.690328807167,6001.92054669211
"2","ATCC13985",2,50.8228410333533,0.644201373307315,0.908467873538774,180.631220734182,66,10.9001458519873,0.0545472567792099,0.0790694871487688,70.1387859661103,8.54051422657171,113.057644110956,6319.82454475812
"3","ATCC13985",3,3.17305345368234,0.358214889962649,1.28869850214531,193.330613847646,56,2.30301424797988,0.0519602768142834,0.121766282307417,14.746282155847,3.71640744731898,56.1205339769356,4858.97643153879
"4","ATCC13985",4,8.05002131657765,0.416766253171727,0.936877799008328,157.612138836215,56,3.62496208865385,0.0456512528481776,0.0885341078739183,23.9840608477035,4.21418836717906,70.4463278331305,4832.23455351855
"5","ATCC43928",1,5.08906729412192,0.423031576343636,1.29607036126235,227.536125949181,66,2.26849872300142,0.0399562267335442,0.112803613672725,14.6000337422364,3.12096475353512,41.8743339218101,1674.47038667544
"6","ATCC43928",2,8.58692315200907,0.471481877469871,1.43525968479098,241.001881443718,66,3.63247430494283,0.0472069776218631,0.124917146775894,19.2568020911829,4.25252720948295,46.8306300783486,2008.8166956033
"7","ATCC43928",3,1.41485560887317,0.274698753957306,0.906659488046098,153.942036224567,56,1.1708601698408,0.039532703452422,0.085676302958488,20.0477301807387,2.46224539399827,132.120606853594,30285.6688877008
"8","ATCC43928",4,124.531136267263,0.61162981709174,0.63938075276621,112.887169853393,55,27.2192994683159,0.0889762262238969,0.0609609030804649,182.82342566712,12.998882852966,313.861089008764,53696.210502827
"9","KBS0701",1,0.0449413390487306,0.263012782350021,1.59460988662874,266.205099874135,69,0.0369347104481547,0.0230038729387585,0.135746984284245,0.804116878610451,0.273077527104348,5.88070735778519,58.4907956760913
"10","KBS0701",2,0.159984974121919,0.287216902145944,1.68635022819535,273.931259764115,69,0.126811645249138,0.027933107301987,0.143546116677505,1.81424912973309,0.596259408394839,10.795356125038,191.199645281296
"11","KBS0701",3,1.0497594698141,0.425249977737922,0.369343056791873,15.3045985044272,11,0.254451815378649,0.0221805560228042,0.078740999546568,2.97272812310926,0.350457195161373,8.45577254798795,37.1503073030403
"12","KBS0701",4,1.2442463430051,0.428792654871101,0.402569057401359,17.1990865310636,11,0.344736245685199,0.0265229250355067,0.0858280789866084,3.45236218318278,0.454759536938559,9.69261874503448,55.9483502498368
"13","KBS0701",5,0.131806931731806,0.278002890499983,1.73975893289357,234.829508914809,58,0.142457625054099,0.0365491860978756,0.161536660435877,1.75649579982238,0.735118943229018,11.2579025618622,283.299809428143
"14","KBS0701",6,0.11861522072844,0.288229408528618,1.38242796183582,211.652228659638,59,0.0879594482126588,0.0256612134468964,0.127256010766247,1.32255350228036,0.420796337757901,7.80785365260857,93.5106783978493
"15","KBS0702",1,10.553061858749,0.531021706239314,0.886779451930214,138.471095581888,51,2.64368762869665,0.0325213965929095,0.0878099575891921,19.0008682599614,2.86591185713752,39.1203758814028,835.106892231747
"16","KBS0702",2,8.63697988475462,0.484014297796612,0.818017013717281,130.235123611459,51,2.33922469427604,0.0307203008018272,0.0810048653875811,18.3753234576128,2.72524930747408,43.0233390516746,1085.54672267652
"17","KBS0702",3,7.18568453924163,0.412938197742558,0.773732446759374,119.913191841697,49,2.72784639385238,0.0358142575964926,0.0781622839782585,21.9260682868587,3.46453118770925,65.3663458740622,3490.6168928972
"18","KBS0702",5,11.7509284130143,0.511025281052655,0.827367285245788,126.485848763778,49,3.27644669168184,0.0361790749247058,0.0835747784294874,22.5928018638724,3.50620817553155,49.0109812485494,1461.82865629013
"19","KBS0702",4,8.67805425772814,0.433604295014221,0.889622223624492,136.197603591598,50,3.28490252127852,0.0391204176375926,0.0889627726963915,23.4382823570754,3.92814506408827,64.6662998228152,3421.20018519945
"20","KBS0702",6,12.5026190162885,0.542028937060911,0.867514675541646,131.127998422537,49,3.05649421627864,0.03403207153274,0.087632133849279,21.7764193252299,3.18659628084757,43.6235373382487,1018.10853686993
"21","KBS0703",1,3.09590436947271,0.340640962042937,0.714292175919755,116.413938253049,51,1.35234839724392,0.0286489337748958,0.0707239528289581,17.1430012961523,2.38418997366049,71.6644742125795,4752.19337673884
"22","KBS0703",2,204.766867290655,0.983815886588752,0.90260509298486,140.278397610749,51,31.8428661597956,0.116062964236525,0.0893730323688138,206.213907162836,22.1308493523043,209.614373399315,18593.6173088121
"23","KBS0703",3,5.86542863003184,0.367030540005129,0.579480566359455,91.5877599999787,49,1.92130813363341,0.0263854086913746,0.0585338211693583,25.1766486441899,2.6460209060199,91.7009122764401,5891.79055576269
"24","KBS0703",4,2.64128753116559,0.324309456067429,0.554024147869495,85.5265562184569,48,0.997149273054916,0.0229809876145374,0.0565439966893574,17.6169441807153,1.87081722400765,81.0614962504148,5241.17816062888
"25","KBS0703",6,9.57779857995625,0.494935083542353,0.728062784509772,67.6841899839353,28,3.34816408199254,0.0488735246975905,0.0973012830450026,19.5224302264282,3.29614304045593,44.282428790822,1508.13265550582
"26","KBS0703",5,16.0838616321163,0.609374351916796,1.01653680862307,80.6397039324249,26,6.1528737281457,0.075893317647961,0.140960083203291,23.7227149455099,5.41401584519598,40.9118405217517,1439.47248118812
"27","KBS0705",1,4.74293340675482,0.462629407642157,1.45384312108225,110.003261504252,29,3.0162464150728,0.0679113626881332,0.190895899310736,11.0666333323213,3.65022391175937,27.6735166369169,1051.93120754408
"28","KBS0705",2,0.14301245319875,0.208737808871396,1.47482707035669,179.515452476575,48,0.243094139871457,0.0434456410780296,0.150529924273876,12.0564359104777,2.37679275327135,166.797125631722,97350.8794108452
"29","KBS0705",3,0.994434362080044,0.285733178401649,1.28939176413509,166.623445691713,48,0.956756538928466,0.0435677391811616,0.131587781223955,11.5632733050431,2.81398002801802,69.6110459350361,9742.34918253671
"30","KBS0705",4,0.777819705693486,0.31085472636745,1.69573897136951,192.913763250491,48,0.756907301469943,0.0459941115920817,0.173080703510625,6.16904125834447,2.20878864019295,30.9454492464072,1947.33638668959
"31","KBS0706",1,64.4024227138038,0.591957720769906,0.972353421726954,133.966776815398,46,23.8945480970782,0.0960992984803204,0.101368674200273,98.6402759743978,16.1667898254867,176.367932891271,26864.9174975463
"32","KBS0706",2,111.566319964714,0.75558899307325,1.04691124318224,140.760496902622,46,34.3140367084677,0.129350375395817,0.109147171762333,132.031552346186,23.017789687648,177.155597277703,23725.3801692643
"33","KBS0706",3,78.8381985003132,0.590582253689269,0.81550377956972,117.776489755705,46,24.7147384611593,0.0885930064097507,0.0850256499301873,121.127720019705,15.1769193612612,217.209306762316,34855.5909481543
"34","KBS0706",4,113.557092333617,0.682821757759137,0.781061830990009,113.810595069442,46,28.9153954276108,0.0985702217759045,0.081429282841655,147.281373944037,17.5594725947267,221.654776008119,30578.2088538718
"35","KBS0707",1,2.20449411126757,0.276444252010417,0.908301021487707,132.985227615991,48,1.74373835206801,0.0397701914553689,0.0927025721079618,30.2331006116781,3.62000352175515,196.31918867176,64050.5393335768
"36","KBS0707",2,0.863713298623388,0.241044734651196,1.35928259739844,171.689956442179,48,1.21316450697319,0.0529078898035656,0.138722573671543,25.9917053884264,4.78246146247588,237.583537704761,164976.751211898
"37","KBS0707",3,0.913921265519429,0.264327465494098,1.33184199263796,169.727506261229,48,1.03723408957626,0.0471443375699088,0.135931904956707,15.9073724969482,3.2223104426473,114.927520020247,31261.5863489893
"38","KBS0707",4,2.60934580470003,0.279468428035996,1.1519254771163,155.78900474183,48,2.5412924281813,0.0510027652984933,0.117580473405473,33.8599213379093,5.07333291189651,214.398902564592,94215.4629608213
"39","KBS0710",1,1.39539707213863,0.348517214847981,1.13608788936692,157.564509395764,49,0.792064248129876,0.0329058395674243,0.114754048035064,7.12220161477447,1.72607579030165,28.5149843573352,970.802050140676
"40","KBS0710",2,0.565255295937808,0.304271114806702,1.1184040053062,156.019920953613,49,0.376757246866127,0.0294865989226646,0.112980218701733,4.91633352607605,1.21892283180752,25.795333969624,924.703520799161
"41","KBS0710",3,3.31862882607408,0.428474247364105,1.11038064903934,158.364621874005,50,1.22294942322672,0.0304495682737471,0.111037265410193,9.22478496553674,1.82053129203323,25.9291033573697,527.774589703741
"42","KBS0710",4,2.79107311619321,0.436279090045552,1.17964805780078,164.412224768936,50,1.00812857067116,0.029391920657871,0.117970543467955,7.42885532261074,1.51360684568138,20.3015417715952,316.627114510807
"43","KBS0711",1,0.0333446528581724,0.239753118511919,1.09636647599496,226.595772850905,73,0.0234745039617747,0.0175050259152414,0.0907373093972571,1.03859829631793,0.2476111928225,9.63122374424678,134.118037346081
"44","KBS0711",2,0.252372226571199,0.273616425539473,0.871392248667837,193.067626389763,73,0.128389297367398,0.0181816990654675,0.0721158929921892,3.65010869178498,0.610194386828811,24.2793027818365,621.523058291433
"45","KBS0711",3,0.0269210605257621,0.221667646394692,0.898840533283133,197.600146386777,73,0.0184683132653438,0.0154552743895356,0.0743840108427952,1.43493322033833,0.265399579417641,16.5717031802379,386.295255579063
"46","KBS0711",4,1.46694691251382,0.441858574019229,0.551157852271984,29.0507158776858,14,0.617581418497171,0.043683447141854,0.104153522252409,3.79015795486424,0.747268168665293,10.1569122299084,93.8160381556648
"47","KBS0711",11,303.210263811726,0.807701367858398,0.643157042390683,125.260793329023,61,39.3361143093386,0.149731258539105,0.0582308600531335,341.215386648194,25.9724293584658,425.684664859246,72942.6130467947
"48","KBS0711",10,546.261576896146,2.03822514162841,0.799537441346542,135.083998456948,54,42.7622111000247,0.573053936190182,0.0769348812308324,483.966043260097,36.4708997967103,248.707925792363,70014.0426446451
"53","KBS0712",1,1.26093445944646,0.316012870709948,1.13735925850481,151.478416394877,47,0.98276485643309,0.0406532910048467,0.117310519863993,9.33650876432826,2.41780919956399,45.2713239673864,3351.57475813197
"54","KBS0712",2,0.122857478046521,0.218395991563584,0.891873807873325,131.224887519365,48,0.126436413891246,0.0270690316490764,0.0910376874053954,7.30614892587234,1.04460773753173,88.1407345403522,16463.5239987462
"55","KBS0712",3,0.337441538317373,0.251460764381184,0.916658229298621,131.200278146358,47,0.289969183637605,0.0295479277169425,0.0945460920013228,7.82054182143073,1.38966150828557,63.9978738437292,7294.52391886331
"56","KBS0712",4,0.00910828560500057,0.157219972698626,1.01587958289539,143.734150364831,48,0.0182420033178152,0.0291099977764109,0.103676963640263,13.0090687364406,4.23540261688493,500.474197415296,1022045.25676238
"57","KBS0713",3,0.014815723271025,0.179563372025191,1.16731507008911,163.359893464607,50,0.0232297662327559,0.0271164028006016,0.116739544545372,4.82937651589012,0.747133566354101,110.747387605124,39272.8917411876
"58","KBS0713",4,0.0146679071226549,0.194864350942151,1.01983824978665,149.853076511322,50,0.0168574374625982,0.0215147645367446,0.101991751429144,2.20733066958737,0.42742973008096,38.0909887513717,3408.80343274046
"59","KBS0713",1,0.0171763130544269,0.193365183651568,0.940847563889355,139.079823065734,49,0.0202487142958261,0.0222265165384532,0.095040956356315,2.7693529389944,0.480396927522008,49.0398067614637,5796.95331043997
"60","KBS0713",2,0.109149131004815,0.240000815414152,0.849523278282407,129.068473216132,49,0.0829186448096298,0.0215503421600704,0.0858222582499854,3.37720487702179,0.65016821534941,31.2310786143256,1527.3518080071
