"","Species","beta","alpha","mttf","N_0","pooled.mttf.se","pooled.beta.se","pooled.alpha.se","N_0.se"
"1","ATCC13985",29.9054817771266,0.523916285390333,46.0633930298375,40500001,3.45301518217659,4.21256409174561,0.0260597180537472,16535315.741366
"2","ATCC43928",34.9054955805668,0.445210506215638,59.1819979203195,24950001,3.43292939376538,6.57079539409158,0.0282340476624917,12928102.4645279
"3","KBS0701",0.458225713075016,0.328417436022265,2.02041760278972,15983334.3333333,0.212777076802074,0.0533483934986412,0.0115078465842102,4080230.11333647
"4","KBS0702",9.88455466162937,0.485772119151045,21.1849605917684,139833334.333333,1.34742607395631,1.18597102473877,0.0142113042846864,10658882.5764138
"5","KBS0703",40.3385246722329,0.520017713360566,51.5659410759719,131500001,4.21260571226297,5.93844329733425,0.0257321318289489,56819450.894918
"6","KBS0705",1.66454998193178,0.316988780320663,10.2138459515466,26750001,1.35440077002059,0.69599865849572,0.0245216905456394,1796988.22107065
"7","KBS0706",92.091008378112,0.655237681322891,124.770230571081,5625001,9.11680349159396,14.1317924684297,0.0521604520860379,652399.417534994
"8","KBS0707",1.6478686200276,0.265321220047927,26.4980249587405,1632501,2.1227687486116,0.867698584027133,0.0239853908203275,132374.15407347
"9","KBS0710",2.01758857758593,0.379385416766085,7.1730438572495,122846308.561549,0.793812214657771,0.454092874843144,0.0152922636127836,16866555.1625986
"10","KBS0711",141.87523759339,0.67047037899202,139.182538011933,122556667.666667,7.35530615906,9.61647986725196,0.0958133073618387,51208802.4768312
"11","KBS0712",0.432585440353839,0.235772399838335,9.36806706201798,146000001,1.29730007606108,0.256796850335917,0.0159994654480657,6244997.9983984
"12","KBS0713",0.0389522686132305,0.201948430508265,3.29581625037342,160000001,0.29530765070221,0.0224202638352809,0.0116165058184141,21821243.4720542
"13","KBS0714",15.6257810109626,0.891236870530293,16.5239630623591,182501,2.08440335781781,2.55000926236263,0.060044867798613,15478.4796841723
"14","KBS0715",0.000167535570367947,0.1452020065795,0.582034108199954,135000001,0.107401154832385,0.000468520815212489,0.0158045247307909,NA
"15","KBS0721",0.269745842164253,0.258866137355136,3.03537567392706,51750001,0.404254981043255,0.114031305541812,0.0130677285290973,20721868.480746
"16","KBS0722",3.46852119302465,0.311039189636002,25.9232136824096,57500001,2.16073046040933,1.31770822528552,0.0235664429403132,3427827.30020052
"17","KBS0724",9.16100147522354,0.49485405967497,18.5325670080758,10300001,1.57221192394091,1.38111316518033,0.0179165743798052,738241.15301167
"18","KBS0725",14.3705858173194,0.717295286761555,17.7346922832479,99500001,1.67450530668274,1.81792448442743,0.0257807377624652,12835497.6529934
"19","KBS0727",8.63512290484393,0.568018726903527,12.7063129563,92000001,1.72635594496094,1.77980716970724,0.0283903638359478,9772410.14284603
"20","KBS0801",36.1672459581386,0.59324003078354,53.8502634583594,86000001,4.50468708564415,5.55454431877528,0.0295837144069061,14497126.1519884
"21","KBS0802",5.6603444400101,0.424544319793135,16.0226646378749,9975001,2.18412027262156,1.61806955623683,0.0261214490488469,385951.20589698
"22","KBS0812",3510666376.04513,0.343749296041034,19255879119028744,123251,75954804699725952,2.16773730028778e-07,0.0377306786018582,8280.2475808396
