	strain	rep	beta	alpha	std_dev	AIC	N.obs	mean_days_death	sd_days_death	CI025_mean_days_death	CI975_mean_days_death	half_life
1	ATCC13985	1	57.57601130489321	0.6764826251196401	0.8975150491497909	179.029681892667	66	75.38444314968946	114.69032880716746	52.224284024478884	108.81555152245026	33.492245764725034
2	ATCC13985	2	50.8228410333533	0.644201373307315	0.9084678735387741	180.63122073418202	66	70.13878596611036	113.05764411095612	47.5407300326483	103.47862334931408	28.77204745767005
3	ATCC13985	3	3.1730534536823396	0.358214889962649	1.2886985021453101	193.330613847646	56	14.746282155846918	56.12053397693535	5.44232527083774	39.95586933861759	1.1405714482316598
4	ATCC13985	4	8.05002131657765	0.41676625317172705	0.936877799008328	157.612138836215	56	23.984060847703542	70.44632783313054	11.112671046644833	51.763898376171454	3.340945725725281
5	ATCC43928	1	5.08906729412192	0.423031576343636	1.29607036126235	227.53612594918098	66	14.600033742236471	41.874333921810205	7.308721456675047	29.165290610406803	2.139770202027698
6	ATCC43928	2	8.58692315200907	0.471481877469871	1.43525968479098	241.001881443718	66	19.256802091182866	46.83063007834863	10.709654709953234	34.625245801281686	3.9466879431309447
7	ATCC43928	3	1.41485560887317	0.27469875395730603	0.9066594880460981	153.942036224567	56	20.04773018073882	132.12060685359484	3.56801761069725	112.64279755647452	0.3726154525402797
8	ATCC43928	4	124.531136267263	0.61162981709174	0.63938075276621	112.887169853393	55	182.82342566711978	313.86108900876434	116.14143317735143	287.79053313059114	68.39611257670784
9	KBS0701	1	0.0449413390487306	0.26301278235002107	1.5946098866287401	266.20509987413504	69	0.8041168786104551	5.880707357785229	0.1431850059828554	4.515863585211179	0.011154472529351147
10	KBS0701	2	0.159984974121919	0.287216902145944	1.6863502281953502	273.931259764115	69	1.8142491297330936	10.795356125038087	0.44559591115391445	7.38673722614201	0.04465631828711136
11	KBS0701	3	1.0497594698141	0.42524997773792206	0.36934305679187296	15.304598504427199	11	2.972728123109267	8.455772547987959	0.5535065729493894	15.965686634642323	0.4433856526005104
12	KBS0701	4	1.2442463430051	0.428792654871101	0.402569057401359	17.1990865310636	11	3.452362183182802	9.692618745034554	0.6569896949728097	18.14153971526753	0.5292864000075744
