Sample	Species	rep	iRep
KBS0713-B	KBS0713	B	1.28726615456
KBS0715-D	KBS0715	D	1.54623697494
ATCC13985-D	ATCC13985	D	2.68545107496
KBS0711-A	KBS0711	A	1.27633205792
KBS0713-C	KBS0713	C	1.24926860525
KBS0713-A	KBS0713	A	1.4247900697
KBS0711-C	KBS0711	C	1.33601995747
KBS0801-D	KBS0801	D	2.41505953729
KBS0715-B	KBS0715	B	1.6397576907
ATCC13985-C	ATCC13985	C	1.78388379594
ATCC13985-B	ATCC13985	B	1.72623722197
KBS0715-C	KBS0715	C	1.63553340762
KBS0801-A	KBS0801	A	2.10069783588
KBS0801-C	KBS0801	C	2.05058925212
KBS0715-A	KBS0715	A	1.56397585139
ATCC43928-C	ATCC43928	C	1.30578937396
ATCC13985-A	ATCC13985	A	1.52825357351
ATCC43928-B	ATCC43928	B	1.61077217789
KBS0801-B	KBS0801	B	1.97580401045
KBS0711-D	KBS0711	D	1.31785611928
KBS0710-C	KBS0710	C	1.33283598932
KBS0712-A	KBS0712	A	1.61947704379
KBS0710-B	KBS0710	B	1.34806009513
KBS0712-B	KBS0712	B	1.70276844608
KBS0802-D	KBS0802	D	1.27782661817
KBS0712-C	KBS0712	C	1.62133803938
KBS0710-A	KBS0710	A	1.36212277023
KBS0802-A	KBS0802	A	1.29729331636
KBS0710-D	KBS0710	D	1.5527843979
KBS0712-D	KBS0712	D	1.63066768809
KBS0802-B	KBS0802	B	1.28228672413
KBS0802-C	KBS0802	C	1.27893941794
KBS0707-D	KBS0707	D	1.47557746547
KBS0727-A	KBS0727	A	1.31102381878
KBS0721-D	KBS0721	D	1.4789144591
KBS0727-B	KBS0727	B	1.30018544968
KBS0727-C	KBS0727	C	1.33601306373
KBS0707-B	KBS0707	B	1.34290512075
KBS0721-A	KBS0721	A	1.48686872724
KBS0707-C	KBS0707	C	1.50363336779
KBS0721-B	KBS0721	B	1.49149454752
KBS0707-A	KBS0707	A	1.42474795183
KBS0727-D	KBS0727	D	1.33724584641
KBS0721-C	KBS0721	C	1.4835605439
KBS0702-C	KBS0702	C	1.22686537987
KBS0812-D	KBS0812	D	1.51398556838
KBS0702-B	KBS0702	B	1.26168812717
KBS0724-A	KBS0724	A	1.42173159268
KBS0724-C	KBS0724	C	1.42274963998
KBS0722-D	KBS0722	D	1.21928397472
KBS0724-B	KBS0724	B	1.41797838012
KBS0711-K	KBS0711	K	1.30430748022
KBS0702-A	KBS0702	A	1.23615488581
KBS0702-E	KBS0702	E	1.23611753304
KBS0812-C	KBS0812	C	1.5815837093
KBS0722-A	KBS0722	A	1.25038757204
KBS0812-B	KBS0812	B	1.54250983
KBS0702-D	KBS0702	D	1.23236084425
KBS0702-F	KBS0702	F	1.23286914253
KBS0722-C	KBS0722	C	1.2539979424
KBS0722-B	KBS0722	B	1.21880480646
KBS0812-A	KBS0812	A	1.47032242409
KBS0724-D	KBS0724	D	1.42797592631
