protein_id KEGG_Orthology species phylum genus num
G_02546 K00648 bja Alphaproteobacteria Others 591
G_02546 K00648 bja Alphaproteobacteria Others 591
G_04826 K10674 bbt Alphaproteobacteria Others 473
G_04826 K10674 bbt Alphaproteobacteria Others 473
G_05271 K15553 bfn Betaproteobacteria Others 234
G_05271 K15553 bfn Betaproteobacteria Others 234
G_04173 K00459 brc Alphaproteobacteria Others 458
G_04173 K00459 brc Alphaproteobacteria Others 458
G_01081 K02049 rhz Alphaproteobacteria Others 315
G_01081 K02049 rhz Alphaproteobacteria Others 315
G_00323 K02902 aol Alphaproteobacteria Others 169
G_00323 K02902 aol Alphaproteobacteria Others 169
G_05619 K00059 rmr Bacteroidetes Others 164
G_05619 K00059 rmr Bacteroidetes Others 164
G_03219 K01996 brc Alphaproteobacteria Others 476
G_03219 K01996 brc Alphaproteobacteria Others 476
G_05041 K09945 rpa Alphaproteobacteria Others 174
G_05041 K09945 rpa Alphaproteobacteria Others 174
G_06667 K07657 bbt Alphaproteobacteria Others 442
G_06667 K07657 bbt Alphaproteobacteria Others 442
G_06107 K02990 bra Alphaproteobacteria Others 209
G_06107 K02990 bra Alphaproteobacteria Others 209
G_03576 K06138 bja Alphaproteobacteria Others 178
G_03576 K06138 bja Alphaproteobacteria Others 178
G_00506 K08987 bju Alphaproteobacteria Others 167
G_00506 K08987 bju Alphaproteobacteria Others 167
G_03887 K09888 aol Alphaproteobacteria Others 197
G_03887 K09888 aol Alphaproteobacteria Others 197
G_01411 K01725 bju Alphaproteobacteria Others 285
G_01411 K01725 bju Alphaproteobacteria Others 285
G_03542 K03863 rpa Alphaproteobacteria Others 393
G_03542 K03863 rpa Alphaproteobacteria Others 393
G_05218 K07304 bju Alphaproteobacteria Others 380
G_05218 K07304 bju Alphaproteobacteria Others 380
G_05784 K09117 bju Alphaproteobacteria Others 252
G_05784 K09117 bju Alphaproteobacteria Others 252
G_01769 K02035 bju Alphaproteobacteria Others 958
G_01769 K02035 bju Alphaproteobacteria Others 958
G_00515 K03555 bja Alphaproteobacteria Others 1407
G_00515 K03555 bja Alphaproteobacteria Others 1407
G_02342 K04761 ara Alphaproteobacteria Others 487
G_02342 K04761 ara Alphaproteobacteria Others 487
G_00128 K04771 bra Alphaproteobacteria Others 849
G_00128 K04771 bra Alphaproteobacteria Others 849
G_01221 K09136 mlo Alphaproteobacteria Others 185
G_01221 K09136 mlo Alphaproteobacteria Others 185
G_03061 K00128 bju Alphaproteobacteria Others 877
G_03061 K00128 bju Alphaproteobacteria Others 877
G_02613 K03584 bju Alphaproteobacteria Others 349
G_02613 K03584 bju Alphaproteobacteria Others 349
G_04330 K09826 nwi Alphaproteobacteria Others 292
G_04330 K09826 nwi Alphaproteobacteria Others 292
G_04161 K01989 bju Alphaproteobacteria Others 177
G_04161 K01989 bju Alphaproteobacteria Others 177
G_02179 K03296 bja Alphaproteobacteria Others 76
G_02179 K03296 bja Alphaproteobacteria Others 76
G_03774 K00600 bos Alphaproteobacteria Others 617
G_03774 K00600 bos Alphaproteobacteria Others 617
G_00424 K01923 bju Alphaproteobacteria Others 540
G_00424 K01923 bju Alphaproteobacteria Others 540
G_06622 K03327 bbt Alphaproteobacteria Others 275
G_06622 K03327 bbt Alphaproteobacteria Others 275
G_05046 K09761 aol Alphaproteobacteria Others 362
G_05046 K09761 aol Alphaproteobacteria Others 362
G_00414 K03630 brc Alphaproteobacteria Others 95
G_00414 K03630 brc Alphaproteobacteria Others 95
G_00776 K03465 brc Alphaproteobacteria Others 126
G_00776 K03465 brc Alphaproteobacteria Others 126
G_02963 K01996 brs Alphaproteobacteria Others 442
G_02963 K01996 brs Alphaproteobacteria Others 442
G_04418 K16168 aol Alphaproteobacteria Others 211
G_04418 K16168 aol Alphaproteobacteria Others 211
G_00774 K02058 bra Alphaproteobacteria Others 615
G_00774 K02058 bra Alphaproteobacteria Others 615
G_03688 K05780 bja Alphaproteobacteria Others 427
G_03688 K05780 bja Alphaproteobacteria Others 427
G_01232 K01784 brs Alphaproteobacteria Others 592
G_01232 K01784 brs Alphaproteobacteria Others 592
G_00368 K07020 aol Alphaproteobacteria Others 283
G_00368 K07020 aol Alphaproteobacteria Others 283
G_02094 K01649 bja Alphaproteobacteria Others 970
G_02094 K01649 bja Alphaproteobacteria Others 970
G_05905 K01607 pna Betaproteobacteria Others 99
G_05905 K01607 pna Betaproteobacteria Others 99
G_05926 K07734 brs Alphaproteobacteria Others 348
G_05926 K07734 brs Alphaproteobacteria Others 348
G_05850 K03520 brc Alphaproteobacteria Others 1355
G_05850 K03520 brc Alphaproteobacteria Others 1355
G_02895 K07003 brs Alphaproteobacteria Others 1224
G_02895 K07003 brs Alphaproteobacteria Others 1224
G_03354 K02334 brc Alphaproteobacteria Others 399
G_03354 K02334 brc Alphaproteobacteria Others 399
G_05996 K11106 bja Alphaproteobacteria Others 706
G_05996 K11106 bja Alphaproteobacteria Others 706
G_04256 K08195 bxe Betaproteobacteria Others 280
G_04256 K08195 bxe Betaproteobacteria Others 280
G_04979 K01790 rva Alphaproteobacteria Others 215
G_04979 K01790 rva Alphaproteobacteria Others 215
G_01368 K11159 bja Alphaproteobacteria Others 810
G_01368 K11159 bja Alphaproteobacteria Others 810
G_04688 K03110 bja Alphaproteobacteria Others 537
G_04688 K03110 bja Alphaproteobacteria Others 537
G_03349 K02523 bbt Alphaproteobacteria Others 647
G_03349 K02523 bbt Alphaproteobacteria Others 647
G_01408 K00031 bja Alphaproteobacteria Others 778
G_01408 K00031 bja Alphaproteobacteria Others 778
G_01506 K04077 nha Alphaproteobacteria Others 167
G_01506 K04077 nha Alphaproteobacteria Others 167
G_01114 K03205 brc Alphaproteobacteria Others 1151
G_01114 K03205 brc Alphaproteobacteria Others 1151
G_00808 K20940 brc Alphaproteobacteria Others 699
G_00808 K20940 brc Alphaproteobacteria Others 699
G_01347 K13587 bja Alphaproteobacteria Others 1361
G_01347 K13587 bja Alphaproteobacteria Others 1361
G_02013 K02025 nha Alphaproteobacteria Others 556
G_02013 K02025 nha Alphaproteobacteria Others 556
G_02707 K00001 bgf Betaproteobacteria Others 467
G_02707 K00001 bgf Betaproteobacteria Others 467
G_05753 K01055 bju Alphaproteobacteria Others 403
G_05753 K01055 bju Alphaproteobacteria Others 403
G_06829 K02487 psw Gammaproteobacteria Others 73
G_06829 K06596 psw Gammaproteobacteria Others 73
G_05306 K08738 bju Alphaproteobacteria Others 244
G_05306 K08738 bju Alphaproteobacteria Others 244
G_03578 K01259 bja Alphaproteobacteria Others 516
G_03578 K01259 bja Alphaproteobacteria Others 516
G_01782 K00380 bja Alphaproteobacteria Others 907
G_01782 K00380 bja Alphaproteobacteria Others 907
G_00992 K02895 bju Alphaproteobacteria Others 1216
G_00992 K02895 bju Alphaproteobacteria Others 1216
G_02411 K00059 brs Alphaproteobacteria Others 476
G_02411 K00059 brs Alphaproteobacteria Others 476
G_02687 K09919 bju Alphaproteobacteria Others 641
G_02687 K09919 bju Alphaproteobacteria Others 641
G_03380 K03744 bju Alphaproteobacteria Others 331
G_03380 K03744 bju Alphaproteobacteria Others 331
G_00970 K01653 bju Alphaproteobacteria Others 345
G_00970 K01653 bju Alphaproteobacteria Others 345
G_03337 K01006 bja Alphaproteobacteria Others 1662
G_03337 K01006 bja Alphaproteobacteria Others 1662
G_01757 K04042 brs Alphaproteobacteria Others 726
G_01757 K04042 brs Alphaproteobacteria Others 726
G_01017 K01995 del Betaproteobacteria Others 331
G_01017 K01995 del Betaproteobacteria Others 331
G_05112 K03520 aol Alphaproteobacteria Others 1573
G_05112 K03520 aol Alphaproteobacteria Others 1573
G_02000 K00127 bja Alphaproteobacteria Others 500
G_02000 K00127 bja Alphaproteobacteria Others 500
G_00701 K07277 aol Alphaproteobacteria Others 1008
G_00701 K07277 aol Alphaproteobacteria Others 1008
G_01873 K05921 pnr Betaproteobacteria Others 285
G_01873 K05921 pnr Betaproteobacteria Others 285
G_06088 K11720 brs Alphaproteobacteria Others 635
G_06088 K11720 brs Alphaproteobacteria Others 635
G_04298 K03518 buq Betaproteobacteria Others 193
G_04298 K03518 buq Betaproteobacteria Others 193
G_06740 K09004 brc Alphaproteobacteria Others 209
G_06740 K09004 brc Alphaproteobacteria Others 209
G_06146 K02837 aol Alphaproteobacteria Others 1019
G_06146 K02837 aol Alphaproteobacteria Others 1019
G_00531 K01448 bju Alphaproteobacteria Others 281
G_00531 K01448 bju Alphaproteobacteria Others 281
G_05222 K02567 brs Alphaproteobacteria Others 1548
G_05222 K02567 brs Alphaproteobacteria Others 1548
G_01374 K06886 rhz Alphaproteobacteria Others 233
G_01374 K06886 rhz Alphaproteobacteria Others 233
G_06844 K00626 brc Alphaproteobacteria Others 730
G_06844 K00626 brc Alphaproteobacteria Others 730
G_05235 K02417 brc Alphaproteobacteria Others 172
G_05235 K02417 brc Alphaproteobacteria Others 172
G_02638 K02435 rpa Alphaproteobacteria Others 171
G_02638 K02435 rpa Alphaproteobacteria Others 171
G_04043 K00481 brc Alphaproteobacteria Others 642
G_04043 K00481 brc Alphaproteobacteria Others 642
G_05409 K01908 brc Alphaproteobacteria Others 1188
G_05409 K01908 brc Alphaproteobacteria Others 1188
G_00149 K02020 rhz Alphaproteobacteria Others 438
G_00149 K02020 rhz Alphaproteobacteria Others 438
G_00082 K07494 sal Alphaproteobacteria Others 220
G_00082 K07494 sal Alphaproteobacteria Others 220
G_02392 K02372 bju Alphaproteobacteria Others 290
G_02392 K02372 bju Alphaproteobacteria Others 290
G_04415 K01989 rhz Alphaproteobacteria Others 402
G_04415 K01989 rhz Alphaproteobacteria Others 402
G_03185 K06151 aol Alphaproteobacteria Others 1054
G_03185 K06151 aol Alphaproteobacteria Others 1054
G_05660 K00249 bbt Alphaproteobacteria Others 692
G_05660 K00249 bbt Alphaproteobacteria Others 692
G_05713 K07300 brc Alphaproteobacteria Others 446
G_05713 K07300 brc Alphaproteobacteria Others 446
G_02366 K01803 brs Alphaproteobacteria Others 406
G_02366 K01803 brs Alphaproteobacteria Others 406
G_05841 K01835 bja Alphaproteobacteria Others 863
G_05841 K01835 bja Alphaproteobacteria Others 863
G_02248 K02535 bja Alphaproteobacteria Others 497
G_02248 K02535 bja Alphaproteobacteria Others 497
G_00739 K03088 brs Alphaproteobacteria Others 252
G_00739 K03088 brs Alphaproteobacteria Others 252
G_01196 K01996 rpa Alphaproteobacteria Others 495
G_01196 K01996 rpa Alphaproteobacteria Others 495
G_02425 K09810 bbt Alphaproteobacteria Others 385
G_02425 K09810 bbt Alphaproteobacteria Others 385
G_06323 K12340 brc Alphaproteobacteria Others 702
G_06323 K12340 brc Alphaproteobacteria Others 702
G_04914 K07090 brc Alphaproteobacteria Others 264
G_04914 K07090 brc Alphaproteobacteria Others 264
G_01879 K05921 anx Firmicutes Bacilli 139
G_02268 K03438 bja Alphaproteobacteria Others 408
G_02268 K03438 bja Alphaproteobacteria Others 408
G_02163 K01999 xau Alphaproteobacteria Others 361
G_02163 K01999 xau Alphaproteobacteria Others 361
G_02483 K01358 bja Alphaproteobacteria Others 383
G_02483 K01358 bja Alphaproteobacteria Others 383
G_03293 K10439 brc Alphaproteobacteria Others 612
G_03293 K10439 brc Alphaproteobacteria Others 612
G_02009 K07403 bja Alphaproteobacteria Others 549
G_02009 K07403 bja Alphaproteobacteria Others 549
G_01823 K09938 aol Alphaproteobacteria Others 278
G_01823 K09938 aol Alphaproteobacteria Others 278
G_03436 K17325 brc Alphaproteobacteria Others 640
G_03436 K17325 brc Alphaproteobacteria Others 640
G_03795 K01555 brs Alphaproteobacteria Others 704
G_03795 K01555 brs Alphaproteobacteria Others 704
G_06496 K02051 bju Alphaproteobacteria Others 560
G_06496 K02051 bju Alphaproteobacteria Others 560
G_04984 K03328 hdn Alphaproteobacteria Others 531
G_04984 K03328 hdn Alphaproteobacteria Others 531
G_05840 K01465 mrd Alphaproteobacteria Others 460
G_05840 K01465 mrd Alphaproteobacteria Others 460
G_00904 K01035 nha Alphaproteobacteria Others 374
G_00904 K01035 nha Alphaproteobacteria Others 374
G_06080 K00940 nwi Alphaproteobacteria Others 272
G_06080 K00940 nwi Alphaproteobacteria Others 272
G_05694 K04063 rpa Alphaproteobacteria Others 254
G_05694 K04063 rpa Alphaproteobacteria Others 254
G_01276 K00384 nha Alphaproteobacteria Others 652
G_01276 K00384 nha Alphaproteobacteria Others 652
G_00120 K00127 bju Alphaproteobacteria Others 225
G_00120 K00127 bju Alphaproteobacteria Others 225
G_05887 K01576 brc Alphaproteobacteria Others 923
G_05887 K01576 brc Alphaproteobacteria Others 923
G_02020 K03543 bja Alphaproteobacteria Others 590
G_02020 K03543 bja Alphaproteobacteria Others 590
G_05640 K00140 brc Alphaproteobacteria Others 962
G_05640 K00140 brc Alphaproteobacteria Others 962
G_00316 K09883 aol Alphaproteobacteria Others 1072
G_00316 K09883 aol Alphaproteobacteria Others 1072
G_05771 K15977 bju Alphaproteobacteria Others 133
G_05771 K15977 bju Alphaproteobacteria Others 133
G_03080 K01053 brc Alphaproteobacteria Others 505
G_03080 K01053 brc Alphaproteobacteria Others 505
G_05734 K11076 brc Alphaproteobacteria Others 602
G_05734 K11076 brc Alphaproteobacteria Others 602
G_01906 K08177 brs Alphaproteobacteria Others 717
G_01906 K08177 brs Alphaproteobacteria Others 717
G_04634 K01768 bja Alphaproteobacteria Others 652
G_04634 K01768 bja Alphaproteobacteria Others 652
G_01441 K02510 bra Alphaproteobacteria Others 427
G_01441 K02510 bra Alphaproteobacteria Others 427
G_02838 K01847 bja Alphaproteobacteria Others 1316
G_02838 K01847 bja Alphaproteobacteria Others 1316
G_06629 K02030 bbt Alphaproteobacteria Others 481
G_06629 K02030 bbt Alphaproteobacteria Others 481
G_03485 K05337 bju Alphaproteobacteria Others 115
G_03485 K05337 bju Alphaproteobacteria Others 115
G_06488 K00850 bju Alphaproteobacteria Others 746
G_06488 K00850 bju Alphaproteobacteria Others 746
G_01908 K07749 bja Alphaproteobacteria Others 835
G_01908 K07749 bja Alphaproteobacteria Others 835
G_06592 K09962 bja Alphaproteobacteria Others 296
G_06592 K09962 bja Alphaproteobacteria Others 296
G_06207 K02890 brc Alphaproteobacteria Others 239
G_06207 K02890 brc Alphaproteobacteria Others 239
G_03927 K07090 brs Alphaproteobacteria Others 304
G_03927 K07090 brs Alphaproteobacteria Others 304
G_04786 K00425 ara Alphaproteobacteria Others 796
G_04786 K00425 ara Alphaproteobacteria Others 796
G_05476 K17760 bbt Alphaproteobacteria Others 1211
G_05476 K17760 bbt Alphaproteobacteria Others 1211
G_00842 K03821 dar Betaproteobacteria Others 598
G_00842 K03821 dar Betaproteobacteria Others 598
G_04921 K10547 cfu Betaproteobacteria Others 427
G_04921 K10547 cfu Betaproteobacteria Others 427
G_04947 K10004 bra Alphaproteobacteria Others 439
G_04947 K10004 bra Alphaproteobacteria Others 439
G_00878 K00656 nha Alphaproteobacteria Others 1412
G_00878 K00656 nha Alphaproteobacteria Others 1412
G_01975 K01996 rpa Alphaproteobacteria Others 383
G_01975 K01996 rpa Alphaproteobacteria Others 383
G_01539 K01295 rpa Alphaproteobacteria Others 707
G_01539 K01295 rpa Alphaproteobacteria Others 707
G_01940 K02225 rsp Alphaproteobacteria Others 354
G_01940 K02225 rsp Alphaproteobacteria Others 354
G_06214 K02358 bju Alphaproteobacteria Others 755
G_06214 K02358 bju Alphaproteobacteria Others 755
G_00682 K03519 rhz Alphaproteobacteria Others 252
G_00682 K03519 rhz Alphaproteobacteria Others 252
G_06755 K02003 aol Alphaproteobacteria Others 340
G_06755 K02003 aol Alphaproteobacteria Others 340
G_03753 K14155 rhz Alphaproteobacteria Others 614
G_03753 K14155 rhz Alphaproteobacteria Others 614
G_01885 K00059 hdl Euryarchaeota Others 178
G_01885 K00059 hdl Euryarchaeota Others 178
G_05936 K00065 aol Alphaproteobacteria Others 320
G_05936 K00065 aol Alphaproteobacteria Others 320
G_02979 K07112 bju Alphaproteobacteria Others 410
G_02979 K07112 bju Alphaproteobacteria Others 410
G_04683 K09807 brs Alphaproteobacteria Others 289
G_04683 K09807 brs Alphaproteobacteria Others 289
G_01238 K03274 bja Alphaproteobacteria Others 571
G_01238 K03274 bja Alphaproteobacteria Others 571
G_00720 K02035 vaa Betaproteobacteria Others 636
G_00720 K02035 vaa Betaproteobacteria Others 636
G_02641 K01055 rhz Alphaproteobacteria Others 202
G_02641 K01055 rhz Alphaproteobacteria Others 202
G_05399 K01897 bja Alphaproteobacteria Others 985
G_05399 K01897 bja Alphaproteobacteria Others 985
