entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Rinke_et_al,d88046c13914d9e70d38aa538bd62cbda37b02eebad153e494d06695,3925,AdoHcyase,PF05221.14,4.1e-135
1,Rinke_et_al,33dc9adcf7ff11a64949fbe976085b2c92e5432771e1add98010b8d5,2384,RNA_pol_Rpb2_3,PF04565.13,2.5e-31
2,Rinke_et_al,cefcf613d0499fa4081fb3cfe8cd59bdfefe1198f897f458163dcb8b,2089,B5,PF03484.12,6.4e-17
3,Rinke_et_al,51eda03ced2bc4b3958841ba4f7c8bde0d9cc0555d6732d19aa03d01,2543,Ribosomal_L22,PF00237.16,1.0e-27
4,Rinke_et_al,2da2d920dc1a089dddaab7365fff04478e19a9d263e688311c33ba28,1271,MoaC,PF01967.18,1.3e-49
5,Rinke_et_al,b4024218c7d083e48089f82fa6724d54ac55ef1e8b5356465ddf6ae0,2383,RNA_pol_Rpb1_2,PF00623.17,3.1e-40
6,Rinke_et_al,c2c95a7e0b41b7a48afe0e1a2487ef399f05d450fbae7c7dff191268,3709,Ham1p_like,PF01725.13,8.5e-55
7,Rinke_et_al,d11ed24ef72fad112b419417e4a6b2314fe79d7ed54cf8965b1e20dd,1733,Ribosomal_S15,PF00312.19,7.3e-32
8,Rinke_et_al,c48de4b615da5726018e60326f8afccb03a09684e6a5526a67794e1b,2538,Ribosomal_L14,PF00238.16,1.8e-58
9,Rinke_et_al,e1559ee4aa2ea24b97b7aec8b7be4ee924e01e0800bd6414475bce86,2384,RNA_pol_Rpb2_1,PF04563.12,7.4e-26
10,Rinke_et_al,500e6c818936c6c8536227d6dac84e76e54e15eed866192d9f46c88a,2384,RNA_pol_Rpb2_7,PF04560.17,1.1e-26
11,Rinke_et_al,291341b741e329b6f6115e51887c04e935a52ff70daa5da151436857,3998,RNA_pol_Rpb6,PF01192.19,5.6e-11
12,Rinke_et_al,b1ce878311d6e864f7743b0f8fd4439697a754d567e9ae7c20504a2c,2531,Ribosomal_S5,PF00333.17,3.4e-32
13,Rinke_et_al,12ddb52f3ce5162b8760fde6c499e8bb8dead7da769fa8c9ab204c38,1940,PcrB,PF01884.14,2.1e-07
14,Rinke_et_al,4d9fb99b463fe78448cd76bfe84ef0e3398fd2c7e445891812673b07,3303,GAD,PF02938.11,3.2e-16
15,Rinke_et_al,c8c2841d6111a24bb4716ea8797a026e1d889864f6c024d3920156d9,2521,RNA_pol_A_bac,PF01000.23,9.7e-19
16,Rinke_et_al,ca9de84d1446db94fd2e843cc1ff2b49d33a2de0f39a9f590042fcbf,2530,Ribosomal_L30,PF00327.17,1.5e-23
17,Rinke_et_al,b7ec7d7253a18e880ed242619f3541c9505738a4a039c610322e173d,2542,Ribosomal_S3_C,PF00189.17,2.3e-41
18,Rinke_et_al,583f3219cdff94b7c2ee1a4862ce6d3ef5748236ec7cd88a128e3d67,3847,NDK,PF00334.16,2.4e-51
19,Rinke_et_al,ad5194b0eb60f06e8bab5443cba2c37b2644de0e273f8ee2ba98a4d1,2545,Ribosomal_L2,PF00181.20,6.2e-34
20,Rinke_et_al,158888aef4eb7615a3a837feb9ec7082b5f76a05837d04899f783e08,870,TIM,PF00121.15,4.1e-93
21,Rinke_et_al,5abd906028b9f3e9a5b52899c7c81bb74a6f53df2614389f598cac58,3312,IF-2,PF11987.5,1.9e-36
22,Rinke_et_al,9408b5515bed7533ee1956ed259ff3f8fc58a983baf7ee12e4e38a68,2546,Ribosomal_L23,PF00276.17,1.8e-30
23,Rinke_et_al,c532b089bc2d24f6530b94e2c7ba51420d77d239590a21bdd55e2067,2536,Ribosomal_L5,PF00281.16,5.0e-25
24,Rinke_et_al,7f9c2b065eda92eff555b07e5618d4399aabdd91a65e2de086a089f0,3537,Ribosomal_S2,PF00318.17,1.7e-93
