Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI39_RS19820, 5337.3, 17, 0.29, 2.46, 52.5061
FFI39_RS19845, 4335.3, 13, 0.24, 2.32, 41.572
FFI39_RS23820, 871.3, 9, 0.05, 7.98, 40.3015
FFI39_RS08270, 922.3, 7, 0.05, 5.86, 29.5263
FFI39_RS12340, 1763.0, 7, 0.10, 3.07, 25.0312
FFI39_RS05930, 2041.0, 6, 0.11, 2.27, 19.8719
FFI39_RS10240, 865.7, 6, 0.05, 5.35, 24.9634
FFI39_RS09635, 1315.0, 5, 0.07, 2.94, 18.043
FFI39_RS10150, 1434.7, 5, 0.08, 2.69, 17.613
FFI39_RS18470, 583.3, 5, 0.03, 6.62, 22.0741
FFI39_RS18855, 3206.7, 5, 0.17, 1.20, 13.6714
FFI39_RS22380, 2685.3, 5, 0.15, 1.44, 14.5351
FFI39_RS02960, 1659.0, 4, 0.09, 1.86, 12.8774
FFI39_RS03000, 804.3, 4, 0.04, 3.84, 15.7362
FFI39_RS08585, 2155.0, 4, 0.12, 1.43, 11.8526
FFI39_RS11645, 890.3, 4, 0.05, 3.47, 15.3336
FFI39_RS16150, 896.7, 4, 0.05, 3.45, 15.3055
FFI39_RS17090, 2714.7, 4, 0.15, 1.14, 10.9533
FFI39_RS17990, 657.0, 4, 0.04, 4.70, 16.5391
FFI39_RS00465, 581.0, 3, 0.03, 3.99, 12.1836
FFI39_RS01060, 1390.0, 3, 0.08, 1.67, 9.59952
FFI39_RS02160, 960.3, 3, 0.05, 2.41, 10.6914
FFI39_RS10855, 878.7, 3, 0.05, 2.64, 10.9547
FFI39_RS11405, 736.7, 3, 0.04, 3.14, 11.4778
FFI39_RS12105, 1156.3, 3, 0.06, 2.00, 10.1422
FFI39_RS14900, 636.3, 3, 0.03, 3.64, 11.9129
FFI39_RS16910, 1032.0, 3, 0.06, 2.24, 10.4784
FFI39_RS18850, 989.0, 3, 0.05, 2.34, 10.6043
FFI39_RS19530, 6056.3, 3, 0.33, 0.38, 5.37223
FFI39_RS21620, 1254.3, 3, 0.07, 1.85, 9.90212
FFI39_RS24185, 955.0, 3, 0.05, 2.43, 10.7079
FFI39_RS24360, 1290.0, 3, 0.07, 1.80, 9.81945
FFI39_RS25410, 1351.3, 3, 0.07, 1.71, 9.68259
FFI39_RS25470, 248.0, 3, 0.01, 9.34, 14.724
