protein_id KEGG_Orthology species phylum genus num
G_05557 K03586 pba Gammaproteobacteria Others 167
G_02546 K15256 psk Gammaproteobacteria Others 427
G_02086 K03676 pfo Gammaproteobacteria Others 167
G_05271 K03101 pfo Gammaproteobacteria Others 247
G_01499 K03554 pfo Gammaproteobacteria Others 549
G_00059 K03335 pch Gammaproteobacteria Others 563
G_04337 K07054 pfo Gammaproteobacteria Others 510
G_04173 K03046 psk Gammaproteobacteria Others 2764
G_00323 K19345 pba Gammaproteobacteria Others 667
G_00461 K00135 avn Gammaproteobacteria Others 692
G_05619 K07114 pfo Gammaproteobacteria Others 748
G_01096 K02055 pba Gammaproteobacteria Others 642
G_03219 K01885 pfo Gammaproteobacteria Others 1012
G_04409 K15396 pfz Gammaproteobacteria Others 513
G_01131 K00342 pch Gammaproteobacteria Others 830
G_04206 K03594 ptv Gammaproteobacteria Others 313
G_05041 K02806 pfl Gammaproteobacteria Others 294
G_04460 K01766 pfo Gammaproteobacteria Others 754
G_00506 K16300 pch Gammaproteobacteria Others 729
G_05360 K18139 pfo Gammaproteobacteria Others 868
G_03887 K03406 pfl Gammaproteobacteria Others 942
G_02018 K00029 pch Gammaproteobacteria Others 838
G_03542 K11996 pch Gammaproteobacteria Others 412
G_05218 K05782 pfo Gammaproteobacteria Others 682
G_05784 K02029 pfo Gammaproteobacteria Others 366
G_04690 K09986 pba Gammaproteobacteria Others 364
G_01517 K00612 thi Betaproteobacteria Others 1051
G_01517 K00612 thi Betaproteobacteria Others 1051
G_02342 K01935 pch Gammaproteobacteria Others 385
G_05050 K02066 pfo Gammaproteobacteria Others 472
G_00128 K00074 pfl Gammaproteobacteria Others 509
G_03630 K03406 pfo Gammaproteobacteria Others 1052
G_01970 K13821 pfo Gammaproteobacteria Others 2511
G_03061 K03606 pfo Gammaproteobacteria Others 608
G_02613 K10814 pfo Gammaproteobacteria Others 177
G_03974 K01679 pba Gammaproteobacteria Others 860
G_04423 K03526 pba Gammaproteobacteria Others 682
G_05436 K03704 pba Gammaproteobacteria Others 140
G_05046 K11719 psk Gammaproteobacteria Others 345
G_00414 K15552 psk Gammaproteobacteria Others 470
G_00776 K03455 pba Gammaproteobacteria Others 994
G_01232 K11904 pci Gammaproteobacteria Others 1277
G_00368 K05549 ara Alphaproteobacteria Others 430
G_00368 K05549 ara Alphaproteobacteria Others 430
G_02094 K02500 pfo Gammaproteobacteria Others 515
G_05537 K07018 pfo Gammaproteobacteria Others 352
G_00580 K00799 pfz Gammaproteobacteria Others 353
G_03354 K12262 pba Gammaproteobacteria Others 262
G_00956 K06222 pfo Gammaproteobacteria Others 496
G_04905 K03088 pfo Gammaproteobacteria Others 327
G_02905 K19353 pfo Gammaproteobacteria Others 1009
G_03039 K01104 psk Gammaproteobacteria Others 231
G_04979 K03654 pfo Gammaproteobacteria Others 1207
G_01368 K05782 pfo Gammaproteobacteria Others 675
G_03867 K01159 pba Gammaproteobacteria Others 318
G_04688 K03639 pch Gammaproteobacteria Others 604
G_01162 K07478 pba Gammaproteobacteria Others 878
G_05826 K02063 sbo Gammaproteobacteria Enterobacteria 133
G_05526 K00127 pfl Gammaproteobacteria Others 253
G_01408 K17623 pfo Gammaproteobacteria Others 422
G_02256 K00789 pba Gammaproteobacteria Others 796
G_01114 K17323 pfo Gammaproteobacteria Others 493
G_00157 K07124 pfo Gammaproteobacteria Others 461
G_01164 K01875 pba Gammaproteobacteria Others 860
G_03428 K11891 pfo Gammaproteobacteria Others 1726
G_04123 K13778 pfo Gammaproteobacteria Others 978
G_00808 K07006 pfo Gammaproteobacteria Others 1051
G_01347 K02495 pfo Gammaproteobacteria Others 611
G_02013 K02665 pba Gammaproteobacteria Others 307
G_02475 K01692 pba Gammaproteobacteria Others 530
G_05753 K03406 pfl Gammaproteobacteria Others 1087
G_05306 K09862 pfo Gammaproteobacteria Others 129
G_03944 K03585 pfo Gammaproteobacteria Others 607
G_01782 K06219 psk Gammaproteobacteria Others 466
G_03578 K00681 pfo Gammaproteobacteria Others 1055
G_02411 K09001 pfo Gammaproteobacteria Others 670
G_00961 K03543 pfo Gammaproteobacteria Others 491
G_02687 K00375 bph Betaproteobacteria Others 635
G_02687 K00375 bph Betaproteobacteria Others 635
G_01391 K09773 pfo Gammaproteobacteria Others 551
G_00256 K14652 pba Gammaproteobacteria Others 659
G_01017 K09915 pba Gammaproteobacteria Others 358
G_05354 K03892 pfl Gammaproteobacteria Others 193
G_00701 K02004 pba Gammaproteobacteria Others 472
G_00353 K00371 psk Gammaproteobacteria Others 1019
G_03709 K07090 pfo Gammaproteobacteria Others 317
G_03817 K01897 pfo Gammaproteobacteria Others 1108
G_04298 K02340 pba Gammaproteobacteria Others 615
G_00839 K01879 pfo Gammaproteobacteria Others 1262
G_00707 K11892 pba Gammaproteobacteria Others 719
G_00531 K09895 pba Gammaproteobacteria Others 352
G_05222 K00600 pba Gammaproteobacteria Others 775
G_01374 K00254 pfo Gammaproteobacteria Others 628
G_00794 K06131 pfo Gammaproteobacteria Others 808
G_00454 K00059 pba Gammaproteobacteria Others 413
G_05235 K00939 pba Gammaproteobacteria Others 387
G_02638 K02014 pch Gammaproteobacteria Others 1240
G_05409 K06077 pfo Gammaproteobacteria Others 205
G_04043 K07667 ppz Gammaproteobacteria Others 409
G_00847 K01462 pba Gammaproteobacteria Others 339
G_04120 K13777 pfo Gammaproteobacteria Others 1078
G_03836 K02483 pmy Gammaproteobacteria Others 392
G_00149 K00681 psk Gammaproteobacteria Others 939
G_00082 K05563 pfo Gammaproteobacteria Others 142
G_02392 K19954 pfo Gammaproteobacteria Others 694
G_04415 K04082 psk Gammaproteobacteria Others 292
G_05660 K02520 pfz Gammaproteobacteria Others 281
G_00849 K04096 pfo Gammaproteobacteria Others 514
G_00340 K00275 pba Gammaproteobacteria Others 323
G_02366 K02970 psp Gammaproteobacteria Others 106
G_04380 K02339 pba Gammaproteobacteria Others 251
G_03209 K10531 cdm Gammaproteobacteria Enterobacteria 532
G_04465 K00990 pfo Gammaproteobacteria Others 1758
G_00739 K02039 pch Gammaproteobacteria Others 462
G_05427 K07577 pfo Gammaproteobacteria Others 548
G_02425 K03808 pfo Gammaproteobacteria Others 314
G_02149 K08484 pch Gammaproteobacteria Others 1491
G_04315 K01241 pfo Gammaproteobacteria Others 955
G_01123 K15725 pfo Gammaproteobacteria Others 682
G_04247 K01095 pfo Gammaproteobacteria Others 323
G_00587 K01586 pfz Gammaproteobacteria Others 766
G_04196 K02988 pba Gammaproteobacteria Others 301
G_01879 K02990 psk Gammaproteobacteria Others 220
G_02009 K03112 pfo Gammaproteobacteria Others 625
G_04697 K10538 pba Gammaproteobacteria Others 531
G_04495 K03787 pfo Gammaproteobacteria Others 427
G_05277 K02672 pfo Gammaproteobacteria Others 347
G_04984 K02379 pfo Gammaproteobacteria Others 497
G_05518 K03074 pfo Gammaproteobacteria Others 493
G_00904 K02274 pba Gammaproteobacteria Others 976
G_03441 K11102 psk Gammaproteobacteria Others 655
G_04455 K00563 pfo Gammaproteobacteria Others 523
G_01276 K10015 psk Gammaproteobacteria Others 445
G_04473 K00099 pba Gammaproteobacteria Others 733
G_05770 K00404 pfo Gammaproteobacteria Others 922
G_05831 K11996 eco Gammaproteobacteria Enterobacteria 120
G_02020 K02909 pch Gammaproteobacteria Others 147
G_01157 K00685 pfo Gammaproteobacteria Others 471
G_05771 K07020 pfo Gammaproteobacteria Others 367
G_03080 K09129 pse Betaproteobacteria Others 297
G_03080 K09129 pse Betaproteobacteria Others 297
G_05734 K03119 pch Gammaproteobacteria Others 569
G_01906 K02557 pfo Gammaproteobacteria Others 460
G_04634 K02279 pba Gammaproteobacteria Others 390
G_00209 K02029 pba Gammaproteobacteria Others 406
G_01441 K01736 prh Gammaproteobacteria Others 710
G_02991 K10025 pfz Gammaproteobacteria Others 449
G_03485 K01256 pfo Gammaproteobacteria Others 1768
G_05077 K09932 pfo Gammaproteobacteria Others 322
G_00546 K03628 pfl Gammaproteobacteria Others 846
G_03030 K00134 pba Gammaproteobacteria Others 638
G_04786 K03088 pba Gammaproteobacteria Others 395
G_00637 K06132 pfo Gammaproteobacteria Others 834
G_02288 K07107 pfo Gammaproteobacteria Others 301
G_05476 K15738 pch Gammaproteobacteria Others 1058
G_03888 K14335 pba Gammaproteobacteria Others 660
G_00842 K02517 pch Gammaproteobacteria Others 561
G_04921 K02047 pba Gammaproteobacteria Others 451
G_02371 K00974 pfo Gammaproteobacteria Others 734
G_02438 K02010 psk Gammaproteobacteria Others 509
G_00878 K13590 ptv Gammaproteobacteria Others 763
G_01975 K03406 pfo Gammaproteobacteria Others 802
G_00986 K01008 pba Gammaproteobacteria Others 669
G_00682 K11892 pfo Gammaproteobacteria Others 557
G_03753 K01895 pfo Gammaproteobacteria Others 1326
G_03340 K03169 pba Gammaproteobacteria Others 1164
G_01885 K02011 pfo Gammaproteobacteria Others 731
G_03066 K06147 prh Gammaproteobacteria Others 875
G_04683 K00943 pfo Gammaproteobacteria Others 380
G_04672 K04773 pba Gammaproteobacteria Others 525
G_04033 K09458 tau Gammaproteobacteria Others 667
G_00720 K11907 pba Gammaproteobacteria Others 1652
G_03612 K12372 pch Gammaproteobacteria Others 657
G_00681 K11891 pci Gammaproteobacteria Others 1914
G_01804 K20972 pfo Gammaproteobacteria Others 1647
G_03477 K19784 pfo Gammaproteobacteria Others 308
G_01382 K02303 pfo Gammaproteobacteria Others 447
G_02792 K01758 pch Gammaproteobacteria Others 716
G_01370 K07259 pba Gammaproteobacteria Others 881
G_03648 K03431 pba Gammaproteobacteria Others 837
G_05411 K00275 pfo Gammaproteobacteria Others 410
G_01653 K00648 pfl Gammaproteobacteria Others 602
G_00497 K01173 psk Gammaproteobacteria Others 434
G_00935 K00324 ppz Gammaproteobacteria Others 182
G_04569 K02362 pfo Gammaproteobacteria Others 421
G_04833 K09902 ptv Gammaproteobacteria Others 187
G_02076 K01915 psk Gammaproteobacteria Others 954
G_05811 K09971 psk Gammaproteobacteria Others 659
G_01107 K03768 psp Gammaproteobacteria Others 331
G_05392 K01998 pfl Gammaproteobacteria Others 619
G_04560 K00575 pfl Gammaproteobacteria Others 556
G_05119 K19296 pfo Gammaproteobacteria Others 418
G_05592 K07178 pba Gammaproteobacteria Others 566
G_01589 K11529 pch Gammaproteobacteria Others 701
G_02151 K07090 pfo Gammaproteobacteria Others 368
G_01567 K01647 pfo Gammaproteobacteria Others 891
G_04595 K12339 pfo Gammaproteobacteria Others 609
G_02561 K01996 pba Gammaproteobacteria Others 370
G_03418 K11907 pfo Gammaproteobacteria Others 1409
G_05820 K07326 pch Gammaproteobacteria Others 117
G_02540 K10680 pfo Gammaproteobacteria Others 640
G_05244 K05799 pfo Gammaproteobacteria Others 439
G_03899 K03924 pfo Gammaproteobacteria Others 534
G_00665 K03655 pfo Gammaproteobacteria Others 1341
G_04733 K07749 pfl Gammaproteobacteria Others 487
G_04505 K06903 pch Gammaproteobacteria Others 202
G_03505 K03556 pfo Gammaproteobacteria Others 1483
G_00525 K00605 pch Gammaproteobacteria Others 661
G_03861 K03646 pci Gammaproteobacteria Others 237
G_00651 K01142 pch Gammaproteobacteria Others 529
G_02370 K00950 pba Gammaproteobacteria Others 319
G_02308 K13775 pch Gammaproteobacteria Others 473
G_01845 K11741 pfo Gammaproteobacteria Others 182
G_05706 K01915 pfo Gammaproteobacteria Others 922
G_02764 K02034 pch Gammaproteobacteria Others 487
G_03839 K00134 pfo Gammaproteobacteria Others 670
G_01043 K00219 pch Gammaproteobacteria Others 1279
G_03263 K02028 byi Betaproteobacteria Others 425
G_03263 K02028 byi Betaproteobacteria Others 425
G_01891 K03665 pch Gammaproteobacteria Others 800
G_05762 K12549 pfo Gammaproteobacteria Others 1915
G_01191 K15977 pfo Gammaproteobacteria Others 215
G_02633 K18139 pba Gammaproteobacteria Others 696
G_04679 K02078 pch Gammaproteobacteria Others 119
G_00559 K09768 pfo Gammaproteobacteria Others 279
G_01582 K11734 pch Gammaproteobacteria Others 780
G_04704 K06950 pfo Gammaproteobacteria Others 354
G_00166 K19416 pch Gammaproteobacteria Others 429
G_02192 K03814 pch Gammaproteobacteria Others 422
G_03594 K00128 pfo Gammaproteobacteria Others 888
G_00483 K20541 psk Gammaproteobacteria Others 887
G_02701 K08303 pch Gammaproteobacteria Others 1301
G_04182 K02886 pba Gammaproteobacteria Others 530
G_01452 K06901 pfo Gammaproteobacteria Others 833
G_02674 K00627 pba Gammaproteobacteria Others 639
G_02489 K11441 pfo Gammaproteobacteria Others 545
G_05672 K10441 pfo Gammaproteobacteria Others 988
G_03767 K07090 pba Gammaproteobacteria Others 356
G_04293 K03801 pfo Gammaproteobacteria Others 422
G_01857 K01996 pfo Gammaproteobacteria Others 462
G_01748 K00818 pfo Gammaproteobacteria Others 691
G_00596 K09806 psk Gammaproteobacteria Others 158
G_04348 K03786 pfo Gammaproteobacteria Others 259
G_05240 K06200 pba Gammaproteobacteria Others 890
G_02024 K01419 psk Gammaproteobacteria Others 290
G_00826 K03495 pfo Gammaproteobacteria Others 1225
G_01476 K02052 pfo Gammaproteobacteria Others 601
G_05053 K07122 pfl Gammaproteobacteria Others 164
G_00350 K02575 pch Gammaproteobacteria Others 742
G_04920 K02046 pba Gammaproteobacteria Others 481
G_04310 K01845 pch Gammaproteobacteria Others 857
G_02646 K16164 csp Actinobacteria Others 218
G_02646 K16164 csp Actinobacteria Others 218
G_02757 K07246 pba Gammaproteobacteria Others 706
G_00887 K09815 pfo Gammaproteobacteria Others 479
G_04167 K02601 pfo Gammaproteobacteria Others 357
G_03650 K03798 psk Gammaproteobacteria Others 1174
G_01285 K06988 avn Gammaproteobacteria Others 409
G_04781 K07649 pfo Gammaproteobacteria Others 762
G_00215 K03769 pba Gammaproteobacteria Others 183
G_01816 K09796 pfo Gammaproteobacteria Others 231
G_01501 K11741 pch Gammaproteobacteria Others 155
G_02145 K01754 pfo Gammaproteobacteria Others 931
G_01694 K07662 pen Gammaproteobacteria Others 407
G_04082 K05592 pch Gammaproteobacteria Others 974
G_03624 K01113 psk Gammaproteobacteria Others 930
G_04000 K00067 pch Gammaproteobacteria Others 514
G_04450 K14475 pfo Gammaproteobacteria Others 206
G_02324 K07641 pfo Gammaproteobacteria Others 759
G_04860 K12979 pch Gammaproteobacteria Others 592
G_03018 K02029 pfz Gammaproteobacteria Others 341
G_05543 K02871 pba Gammaproteobacteria Others 292
G_01677 K01724 pfo Gammaproteobacteria Others 242
G_01057 K02053 pba Gammaproteobacteria Others 446
G_00645 K13038 pba Gammaproteobacteria Others 741
G_00871 K11102 pfl Gammaproteobacteria Others 684
G_02231 K13934 pfo Gammaproteobacteria Others 298
G_00064 K00010 pba Gammaproteobacteria Others 623
G_05127 K19291 pfo Gammaproteobacteria Others 699
G_00732 K03179 pfo Gammaproteobacteria Others 519
G_01956 K01113 pfo Gammaproteobacteria Others 701
G_00336 K07234 pch Gammaproteobacteria Others 486
G_05032 K06287 pfo Gammaproteobacteria Others 344
G_05142 K09969 pba Gammaproteobacteria Others 645
G_03239 K01963 pfo Gammaproteobacteria Others 580
G_04656 K02238 pfo Gammaproteobacteria Others 723
