freq	total_cov	major_cov	minor_cov
0.0856256485	305	275	28
0.0680446625	332	306	23
0.068602562	399	371	28
0.0527925491	937	885	51
0.0527276993	839	790	45
0.0548014641	814	769	45
0.0609064102	809	745	47
0.0886068344	869	789	78
0.0536518097	872	822	48
0.0733041763	793	733	59
0.0817050934	791	725	65
0.0804076195	485	436	39
0.0509662628	418	386	22
0.0665745735	417	389	28
0.130234718	220	186	28
0.115436077	166	145	19
0.0535993576	203	191	11
0.269153595	26	19	7
0.3532691	88	55	30
0.127808094	68	59	9
0.113035202	153	127	19
0.151751041	126	97	23
0.223678589	67	52	15
0.223664284	67	52	15
0.611506462	59	36	23
0.0828323364	136	124	12
0.224628925	202	156	45
0.0962100029	103	92	11
0.174759388	103	85	18
0.174786091	103	85	18
0.174794674	103	85	18
0.174419403	103	85	18
0.16637516	108	90	18
0.162053108	111	93	18
0.170945168	105	87	18
0.166971207	107	89	18
0.171318054	105	87	18
0.169237614	105	87	18
0.171261787	105	87	18
0.160570145	112	94	18
0.0715928078	97	90	7
0.058298111	117	110	7
0.0517997742	135	128	7
0.0540590286	166	157	9
0.0504374504	178	169	9
0.0552453995	127	119	7
0.0607805252	116	108	7
0.0591726303	118	111	7
0.056787014	123	116	7
0.057164669	122	114	7
0.0597343445	117	110	7
0.0602784157	116	109	7
0.0671677589	104	97	7
0.0689787865	101	94	7
0.0723919868	96	89	7
0.0509209633	313	297	16
0.180427074	51	41	10
0.153065681	99	76	14
0.291948318	147	104	43
0.282613277	152	109	43
0.251691341	45	33	12
0.234758377	187	143	44
0.0543394089	187	176	11
0.0642108917	186	174	12
0.077963829	153	138	14
0.222183228	108	84	24
0.176708698	113	93	20
0.177122593	113	93	20
0.181233883	109	89	20
0.183017254	109	89	20
0.17515564	114	94	20
0.179915428	111	91	20
0.180342674	111	91	20
0.203723431	100	79	20
0.19236517	104	84	20
0.136871338	73	63	10
0.140894413	71	61	10
0.142517567	70	60	10
0.181438446	55	45	10
0.163880825	61	51	10
0.166432858	60	50	10
0.15341711	65	55	10
0.158725739	63	53	10
0.181741714	55	45	10
0.164498329	61	51	10
0.171394825	63	52	11
0.304616928	113	78	34
0.279761791	122	87	34
0.285889626	119	85	34
0.285580635	119	85	34
0.236127853	144	110	34
0.227989674	149	115	34
0.228019714	149	115	34
0.233915806	149	114	35
0.120631218	89	70	10
0.0952072144	96	84	9
0.103461742	98	83	10
0.0898127556	103	92	9
0.108880043	107	89	10
0.120425701	113	88	12
0.142860889	168	144	24
0.151243687	166	140	25
0.147505283	166	141	24
0.147896767	166	140	24
0.144197941	166	142	24
0.145819187	166	141	24
0.183475971	158	129	29
0.199623585	145	116	29
0.199728012	145	116	29
0.196250916	147	118	29
0.19257021	150	121	29
0.19829607	146	117	29
0.188485622	153	124	28
0.139917374	50	43	7
0.472557068	91	48	43
0.472311497	91	48	43
0.463647842	93	50	43
0.105854034	66	59	7
0.10909605	64	57	7
0.0608382225	115	108	7
0.0554790497	116	109	7
0.0602760315	116	109	7
0.0596008301	117	110	7
0.0630230904	111	104	7
0.0529589653	132	125	7
0.0511145592	136	129	7
0.0501737595	140	131	7
0.0507678986	137	130	7
0.0513901711	136	129	7
0.785125732	51	40	11
0.728189945	55	40	15
0.714630127	56	40	16
0.689403057	58	40	18
0.679255962	59	40	19
0.678050518	59	40	19
0.655818462	61	40	21
0.431461334	44	25	19
0.445559978	44	24	19
0.258504868	58	43	15
0.323261738	71	48	23
0.399717331	70	42	28
0.229432106	87	67	20
0.0655970573	140	127	9
0.0696334839	86	80	6
0.0721526146	83	77	6
0.0704636574	85	79	6
0.0927305222	73	66	7
0.0818200111	73	67	6
0.0810337067	74	68	6
0.0788750648	76	70	6
0.087477684	76	69	7
0.0798583031	75	69	6
0.079583168	75	69	6
0.0868945122	69	63	6
0.276473999	94	68	26
0.276150703	94	68	26
0.172732353	81	67	14
0.168565273	83	69	14
0.191748619	73	59	14
0.19150877	73	59	14
0.191399574	73	59	14
0.190237999	73	59	14
0.169007301	82	68	14
0.150557041	80	67	12
0.14278841	82	70	12
0.15057373	81	68	12
0.153431892	78	66	12
0.248810291	92	68	24
0.194817066	95	75	20
0.154649258	106	85	18
0.264027596	120	86	33
0.0795106888	114	104	9
0.090862751	99	90	9
0.0733175278	123	113	9
0.0653772354	137	128	9
0.0658607483	137	128	9
0.0665917397	135	126	9
0.198794365	250	199	50
0.2096591	239	188	50
0.212081432	235	185	50
0.132102013	217	186	29
0.095181942	84	76	8
0.162850857	43	36	7
0.15658617	28	21	4
0.224989414	30	23	6
0.14357996	32	25	4
0.125113964	32	28	4
0.171933174	95	76	18
0.171109676	35	29	6
0.206765652	29	23	6
0.20665884	29	23	6
0.126867294	112	93	19
0.101608276	118	106	12
0.0701079369	85	79	6
0.484910488	25	13	12
0.209878445	130	96	27
0.144933701	130	108	21
